epoch,accuracy,loss,negative,positive,pred_positive,roc_auc,sensitivity,specificity,true_negative,true_positive,val_accuracy,val_loss,val_negative,val_positive,val_pred_positive,val_roc_auc,val_sensitivity,val_speci,val_true_negative,val_true_positive
166,0.13779527,2.83037281,471,37,475,0.7823779,1,0.070063695,33,37,0.324200898,3.292476177,197,22,168,0.699815392,0.954545438,0.253807098,50,21
167,0.13779527,2.849412918,471,37,471,0.7244506,0.9459459,0.07430998,35,35,0.351598173,3.279717684,197,22,162,0.700276852,0.954545438,0.284263968,56,21
168,0.16535433,2.889201641,471,37,457,0.67768407,0.9459459,0.10403397,49,35,0.378995448,3.267035007,197,22,156,0.70073837,0.954545438,0.314720809,62,21
169,0.18110237,2.822223663,471,37,445,0.7270901,0.8918919,0.12526539,59,33,0.383561641,3.254585743,197,22,155,0.700507641,0.954545438,0.31979695,63,21
170,0.18110237,2.796718121,471,37,449,0.7821197,0.9459459,0.12101911,57,35,0.397260278,3.241892815,197,22,150,0.70119983,0.909090936,0.34010151,67,20
171,0.19685039,2.770154953,471,37,441,0.7463132,0.9459459,0.13800424,65,35,0.401826471,3.229215622,197,22,147,0.701430559,0.863636374,0.35025382,69,19
172,0.2027559,2.796725988,471,37,438,0.7212945,0.9459459,0.14437367,68,35,0.433789968,3.216592789,197,22,140,0.702122748,0.863636374,0.385786802,76,19
173,0.20866142,2.76269412,471,37,433,0.77391404,0.9189189,0.15286624,72,34,0.447488576,3.203737974,197,22,137,0.702814937,0.863636374,0.401015222,79,19
174,0.23031496,2.812049866,471,37,420,0.696448,0.8918919,0.17834395,84,33,0.452054799,3.190369606,197,22,136,0.703737915,0.863636374,0.406091362,80,19
175,0.22244094,2.749017715,471,37,432,0.72995925,1,0.16135882,76,37,0.456620991,3.177093744,197,22,135,0.703507125,0.863636374,0.411167502,81,19
176,0.26377952,2.763518095,471,37,401,0.7036782,0.8648649,0.21656051,102,32,0.456620991,3.163813829,197,22,135,0.704199374,0.863636374,0.411167502,81,19
177,0.23228346,2.712130785,471,37,421,0.7420095,0.9189189,0.17834395,84,34,0.456620991,3.150622129,197,22,135,0.703737915,0.863636374,0.411167502,81,19
178,0.22244094,2.743663311,471,37,428,0.7471739,0.9459459,0.1656051,78,35,0.461187214,3.137563229,197,22,134,0.704199374,0.863636374,0.416243643,82,19
179,0.25,2.678881168,471,37,416,0.762495,0.972973,0.19320594,91,36,0.465753436,3.124277115,197,22,133,0.704199374,0.863636374,0.421319783,83,19
180,0.26968503,2.618289232,471,37,402,0.79457164,0.9189189,0.21868365,103,34,0.470319629,3.111505508,197,22,132,0.703968644,0.863636374,0.426395953,84,19
181,0.25,2.744987488,471,37,410,0.68683654,0.8918919,0.19957536,94,33,0.470319629,3.098623037,197,22,132,0.703737915,0.863636374,0.426395953,84,19
182,0.25,2.743930101,471,37,410,0.70080906,0.8918919,0.19957536,94,33,0.474885851,3.085933447,197,22,131,0.702814937,0.863636374,0.431472093,85,19
183,0.2519685,2.684309483,471,37,413,0.6904229,0.9459459,0.19745223,93,35,0.474885851,3.073903322,197,22,131,0.702814937,0.863636374,0.431472093,85,19
184,0.25,2.606006384,471,37,412,0.7296724,0.9189189,0.19745223,93,34,0.479452044,3.062860489,197,22,130,0.703045666,0.863636374,0.436548233,86,19
