epoch,accuracy,loss,negative,positive,pred_positive,roc_auc,sensitivity,specificity,true_negative,true_positive,val_accuracy,val_loss,val_negative,val_positive,val_pred_positive,val_roc_auc,val_sensitivity,val_speci,val_true_negative,val_true_positive
75,0.2874016,4.558543205,478,30,378,0.52869594,0.76666665,0.25732216,123,23,0.575342476,4.383034706,209,10,89,0.404306233,0.300000012,0.588516772,123,3
76,0.27952754,4.496514797,478,30,382,0.5352859,0.76666665,0.24895397,119,23,0.547945201,4.359587669,209,10,95,0.394736856,0.300000012,0.559808612,117,3
77,0.2992126,4.456936359,478,30,380,0.6641562,0.9,0.2615063,125,27,0.502283096,4.336362839,209,10,105,0.38899523,0.300000012,0.511961699,107,3
78,0.28346458,4.530095577,478,30,382,0.553696,0.8,0.25104603,120,24,0.452054799,4.313213348,209,10,116,0.384689003,0.300000012,0.459330142,96,3
79,0.2972441,4.449228764,478,30,371,0.5512901,0.73333335,0.26987448,129,22,0.429223746,4.290178776,209,10,121,0.38516745,0.300000012,0.435406685,91,3
80,0.25984251,4.410587311,478,30,396,0.5693863,0.8333333,0.22384937,107,25,0.410958916,4.267271996,209,10,125,0.3799043,0.300000012,0.416267931,87,3
81,0.26377952,4.408869267,478,30,396,0.57744074,0.8666667,0.22594142,108,26,0.410958916,4.244504452,209,10,125,0.37464115,0.300000012,0.416267931,87,3
82,0.25984251,4.371799469,478,30,400,0.64191073,0.9,0.21966527,105,27,0.420091331,4.221841812,209,10,123,0.372727275,0.300000012,0.425837308,89,3
83,0.28543308,4.387986183,478,30,389,0.5550209,0.93333334,0.24476987,117,28,0.397260278,4.199298859,209,10,128,0.369378,0.300000012,0.401913881,84,3
84,0.25,4.35210228,478,30,399,0.5078626,0.8,0.21548118,103,24,0.406392694,4.176891804,209,10,126,0.367942572,0.300000012,0.411483258,86,3
85,0.2559055,4.310960293,478,30,398,0.6099024,0.8333333,0.21966527,105,25,0.401826471,4.154585361,209,10,127,0.364593297,0.300000012,0.406698555,85,3
86,0.26574802,4.330731392,478,30,389,0.46990934,0.76666665,0.23430963,112,23,0.392694056,4.132351875,209,10,129,0.365071774,0.300000012,0.397129178,83,3
87,0.26574802,4.320661068,478,30,387,0.5297769,0.73333335,0.23640168,113,22,0.401826471,4.11015749,209,10,127,0.363636374,0.300000012,0.406698555,85,3
88,0.23425196,4.233576775,478,30,409,0.616841,0.8333333,0.19665273,94,25,0.406392694,4.088134289,209,10,126,0.364114821,0.300000012,0.411483258,86,3
89,0.22440945,4.242979527,478,30,406,0.48748258,0.7,0.19456068,93,21,0.374429226,4.066280365,209,10,133,0.366507173,0.300000012,0.377990425,79,3
90,0.2519685,4.166872978,478,30,404,0.6472106,0.9,0.21129707,101,27,0.365296811,4.044620991,209,10,135,0.368899524,0.300000012,0.368421048,77,3
91,0.24015749,4.170467377,478,30,398,0.5037657,0.7,0.21129707,101,21,0.378995448,4.023039341,209,10,132,0.371770322,0.300000012,0.382775128,80,3
92,0.22637795,4.151046276,478,30,413,0.59693164,0.8333333,0.18828452,90,25,0.369863003,4.001598358,209,10,134,0.373684198,0.300000012,0.373205751,78,3
93,0.24409449,4.133656979,478,30,408,0.5730474,0.9,0.20292887,97,27,0.369863003,3.980296373,209,10,134,0.377511948,0.300000012,0.373205751,78,3
94,0.19488189,4.156662464,478,30,427,0.47859135,0.8,0.15690376,75,24,0.397260278,3.959079742,209,10,128,0.378468901,0.300000012,0.401913881,84,3
95,0.26574802,4.097002983,478,30,393,0.59048116,0.8333333,0.23012552,110,25,0.429223746,3.937958241,209,10,121,0.379425824,0.300000012,0.435406685,91,3
96,0.2893701,4.035648823,478,30,381,0.61087865,0.8333333,0.25523013,122,25,0.470319629,3.917067766,209,10,112,0.376555026,0.300000012,0.478468895,100,3
97,0.27952754,3.999590158,478,30,388,0.632113,0.8666667,0.24267782,116,26,0.529680371,3.896309853,209,10,99,0.377033502,0.300000012,0.540669858,113,3
